State,Production,State1,RefConsumption,State2,PetConsumption,State3,Imports
TX,3254.468493,TX,4375.813905,TX,3507.945205,LA,2048.988344
AK,1054.071233,LA,2950.63218,CA,1699.178082,TX,867.8686995
ND,668.030137,CA,1621.499959,LA,901.6438356,IL,235.1922904
CA,588.739726,IL,854.0964,FL,807.6712329,AK,226.051131
OK,254.7616438,NJ,544.712,NY,662.4657534,OK,206.4957507
NM,233.4739726,OH,524.832,IL,618.9041096,MS,146.4735342
LA,193.5561644,WA,511.4977,PA,613.1506849,WA,130.127837
WY,158.4575342,OK,478.0026,OH,586.3013699,MT,100.7209753
CO,135.0958904,PA,376.38,NJ,503.0136986,KS,93.81225205
KS,119.8438356,MS,361.816,GA,482.739726,DE,92.70377808
UT,82.9260274,AK,350.16072,MI,424.3835616,WY,50.11091096
MT,72.5890411,MN,349.0928,VA,420,NJ,41.69830137
MS,66.17534247,IN,330.4215,NC,409.3150685,MN,31.01060822
AL,26.09589041,KS,308.3328,WA,381.369863,NM,6.700134247
IL,24.40547945,KY,216.7965,IN,378.3561644,HI,6.113116438
MI,20.33424658,MT,186.4744,TN,348.4931507,UT,-5.770663014
AR,17.90684932,TN,165.24,MO,330.4109589,DC,-8.493150685
OH,14.03013699,DE,144.4846,MN,318.0821918,VT,-40
PA,11.78082192,NM,142.0426,KY,311.7808219,RI,-40.54794521
KY,8.761643836,UT,135.5992,MA,282.4657534,ND,-41.72986301
