name,node,hor
Alaska,AK,9139.726027
Alabama,AL,139.7260274
Arkansas,AR,145.2054795
California,CA,8147.945205
Colorado,CO,1693.150685
Florida,FL,65.75342466
Illinois,IL,139.7260274
Indiana,IN,35.61643836
Kansas,KS,1027.39726
Kentucky,KY,24.65753425
Louisiana,LA,1268.493151
Michigan,MI,153.4246575
Mississippi,MS,728.7671233
Montana,MT,1057.534247
Nebraska,NE,35.61643836
New Mexico,NM,2643.835616
North Dakota,ND,10304.10959
Ohio,OH,106.8493151
Oklahoma,OK,2558.90411
Pennsylvania,PA,73.97260274
Texas,TX,26339.72603
Utah,UT,1679.452055
West Virginia,WV,19.17808219
Wyoming,WY,1934.246575
Mexico,MX,28380
Western Canada,WC,284556
Eastern Canada,EC,189704
Rest of World,RW,4425904
