year,node_out,node_in,type,re_export_A,trf_A,capacity_A,capacity_constrained_A,inv_A,loss_A,emm_type_1,emm_A_1,emm_type_2,emm_A_2
2012,AK,CA,Ship,0,6,0,0,1,0,GHG,0,,
2012,AK,RW,Ship,0,2,0,1,1,0,GHG,0,,
2012,AK,WA,Ship,0,6,0,0,1,0,GHG,0,,
2012,CA,RW,Ship,0,2,0,1,1,0,GHG,0,,
2012,EC,DE,Ship,0,1.5,0,0,1,0,GHG,0,,
2012,EC,NJ,Ship,0,1.5,0,0,1,0,GHG,0,,
2012,EC,NY,Ship,0,1.5,0,0,1,0,GHG,0,,
2012,EC,PA,Ship,0,1.5,0,0,1,0,GHG,0,,
2012,EC,RW,Ship,0,4,0,0,1,0,GHG,0,,
2012,IL,MS,BargeR,0,5.5,0,0,3,0,GHG,0,,
2012,LA,MS,BargeS,0,5.5,0,0,2,0,GHG,0,,
2012,LA,RW,Ship,0,2,0,1,1,0,GHG,0,,
2012,MS,PA,BargeS,0,5,0,0,2,0,GHG,0,,
2012,MX,AL,Ship,0,0.4,0,0,1,0,GHG,0,,
2012,MX,LA,Ship,0,0.4,0,0,1,0,GHG,0,,
2012,MX,MS,Ship,0,0.4,0,0,1,0,GHG,0,,
2012,MX,NJ,Ship,0,4,0,0,1,0,GHG,0,,
2012,MX,RW,Ship,0,1.5,0,0,1,0,GHG,0,,
2012,MX,TX,Ship,0,0.4,0,0,1,0,GHG,0,,
2012,NJ,RW,Ship,0,2,0,1,1,0,GHG,0,,
2012,OH,LA,BargeR,0,5.5,0,0,3,0,GHG,0,,
2012,OH,TX,BargeR,0,5.5,0,0,3,0,GHG,0,,
2012,OK,LA,BargeR,0,5,0,0,3,0,GHG,0,,
2012,OR,CA,BargeS,0,5,0,0,2,0,GHG,0,,
2012,OR,WA,BargeS,0,5,0,0,2,0,GHG,0,,
2012,PA,MS,BargeS,0,4,5.3,1,2,0,GHG,0,,
2012,PA,LA,BargeR,0,5.5,0,0,3,0,GHG,0,,
2012,PA,KY,BargeR,0,5.5,0,0,3,0,GHG,0,,
2012,RW,AK,Ship,0,2,0,0,2,0,GHG,0,,
2012,RW,AL,Ship,0,2,0,0,2,0,GHG,0,,
2012,RW,CA,Ship,0,1.5,0,0,2,0,GHG,0,,
2012,RW,DE,Ship,0,2,0,0,2,0,GHG,0,,
2012,RW,EC,Ship,0,4,0,0,2,0,GHG,0,,
2012,RW,LA,Ship,0,2,0,0,2,0,GHG,0,,
2012,RW,MS,Ship,0,2,0,0,2,0,GHG,0,,
2012,RW,MX,Ship,0,2,0,0,2,0,GHG,0,,
2012,RW,NJ,Ship,0,2,0,0,2,0,GHG,0,,
2012,RW,NY,Ship,0,2,0,0,2,0,GHG,0,,
2012,RW,PA,Ship,0,2,0,0,2,0,GHG,0,,
2012,RW,TN,Ship,0,6.8,0,0,2,0,GHG,0,,
2012,RW,TX,Ship,0,2,0,0,2,0,GHG,0,,
2012,RW,WA,Ship,0,2,0,0,2,0,GHG,0,,
2012,TX,CA,Ship,0,5,0,0,2,0,GHG,0,,
2012,TX,EC,Ship,0,2,0,0,2,0,GHG,0,,
2012,TX,LA,BargeR,0,5,0,0,3,0,GHG,0,,
2012,TX,MS,BargeR,0,5,0,0,3,0,GHG,0,,
2012,TX,MX,Ship,0,1,0,1,1,0,GHG,0,,
2012,TX,NJ,Ship,0,5,0,0,1,0,GHG,0,,
2012,TX,NY,BargeS,0,5,0,0,2,0,GHG,0,,
2012,TX,PA,BargeS,0,6,0,0,2,0,GHG,0,,
2012,TX,RW,Ship,0,2,0,1,1,0,GHG,0,,
2012,WA,RW,Ship,0,2,0,1,1,0,GHG,0,,
2012,MO,MS,BargeR,0,5.5,0,0,3,0,GHG,0,,
2012,AR,MS,BargeR,0,5.5,0,0,3,0,GHG,0,,
2012,WV,LA,BargeR,0,5.5,0,0,3,0,GHG,0,,
2012,WV,TX,BargeR,0,5.5,0,0,3,0,GHG,0,,
2012,WV,KY,BargeR,0,5.5,0,0,3,0,GHG,0,,
2012,WC,AK,Ship,0,5.5,0,0,4.5,0,GHG,0,,
2012,WC,CA,Ship,0,6.5,0,0,5.5,0,GHG,0,,
2012,WC,WA,Ship,0,2,0,0,4.5,0,GHG,0,,
2012,WC,RW,Ship,0,7,0,0,4.5,0,GHG,0,,
2012,CA,CA_R,Load,0,1,40,1,1,0,GHG,0,,
