year,type,area,season,fuel,quantity
2012,Nodal,AK,Y,LI_SW_CRUDE,1.0
2012,Nodal,AK,Y,HE_SO_CRUDE,1.0
2012,Nodal,CA,Y,LI_SW_CRUDE,1.0
2012,Nodal,CA,Y,HE_SO_CRUDE,1.0
2012,Nodal,CO,Y,LI_SW_CRUDE,1.0
2012,Nodal,CO,Y,HE_SO_CRUDE,1.0
2012,Nodal,EC,Y,LI_SW_CRUDE,1.0
2012,Nodal,EC,Y,HE_SO_CRUDE,1.0
2012,Nodal,KS,Y,HE_SO_CRUDE,1.0
2012,Nodal,KS,Y,LI_SW_CRUDE,1.0
2012,Nodal,LA,Y,HE_SO_CRUDE,1.0
2012,Nodal,LA,Y,LI_SW_CRUDE,1.0
2012,Nodal,MX,Y,LI_SW_CRUDE,1.0
2012,Nodal,MX,Y,HE_SO_CRUDE,1.0
2012,Nodal,NM,Y,LI_SW_CRUDE,1.0
2012,Nodal,NM,Y,HE_SO_CRUDE,1.0
2012,Nodal,ND,Y,HE_SO_CRUDE,1.0
2012,Nodal,ND,Y,LI_SW_CRUDE,1.0
2012,Nodal,OK,Y,HE_SO_CRUDE,1.0
2012,Nodal,OK,Y,LI_SW_CRUDE,1.0
2012,Nodal,RW,Y,HE_SO_CRUDE,1.0
2012,Nodal,RW,Y,LI_SW_CRUDE,1.0
2012,Nodal,TX,Y,HE_SO_CRUDE,1.0
2012,Nodal,TX,Y,LI_SW_CRUDE,1.0
2012,Nodal,WC,Y,LI_SW_CRUDE,1.0
2012,Nodal,WC,Y,HE_SO_CRUDE,1.0
2012,Nodal,WY,Y,HE_SO_CRUDE,1.0
2012,Nodal,WY,Y,LI_SW_CRUDE,1.0
2015,Nodal,AK,Y,LI_SW_CRUDE,0.9448669201520913
2015,Nodal,AK,Y,HE_SO_CRUDE,0.9448669201520913
2015,Nodal,CA,Y,LI_SW_CRUDE,1.040885860306644
2015,Nodal,CA,Y,HE_SO_CRUDE,1.040885860306644
2015,Nodal,CO,Y,LI_SW_CRUDE,1.9185185185185185
2015,Nodal,CO,Y,HE_SO_CRUDE,1.9185185185185185
2015,Nodal,EC,Y,LI_SW_CRUDE,0.9029994410979321
2015,Nodal,EC,Y,HE_SO_CRUDE,1.1367743873883973
2015,Nodal,KS,Y,HE_SO_CRUDE,1.1333333333333333
2015,Nodal,KS,Y,LI_SW_CRUDE,1.1333333333333333
2015,Nodal,LA,Y,HE_SO_CRUDE,0.9740932642487047
2015,Nodal,LA,Y,LI_SW_CRUDE,0.9740932642487047
2015,Nodal,MX,Y,LI_SW_CRUDE,0.9562064152146647
2015,Nodal,MX,Y,HE_SO_CRUDE,0.9562064152146647
2015,Nodal,NM,Y,LI_SW_CRUDE,1.4549356223175967
2015,Nodal,NM,Y,HE_SO_CRUDE,1.4549356223175967
2015,Nodal,ND,Y,HE_SO_CRUDE,1.6345864661654135
2015,Nodal,ND,Y,LI_SW_CRUDE,1.6345864661654135
2015,Nodal,OK,Y,HE_SO_CRUDE,1.4644351464435146
2015,Nodal,OK,Y,LI_SW_CRUDE,1.4644351464435146
2015,Nodal,RW,Y,HE_SO_CRUDE,0.9914968510982486
2015,Nodal,RW,Y,LI_SW_CRUDE,0.9914968510982486
2015,Nodal,TX,Y,HE_SO_CRUDE,1.4106205619018215
2015,Nodal,TX,Y,LI_SW_CRUDE,1.4106205619018215
2015,Nodal,WC,Y,LI_SW_CRUDE,1.0985594866291095
2015,Nodal,WC,Y,HE_SO_CRUDE,1.3334808616898364
2015,Nodal,WY,Y,HE_SO_CRUDE,1.3164556962025316
2015,Nodal,WY,Y,LI_SW_CRUDE,1.3164556962025316
2018,Nodal,AK,Y,LI_SW_CRUDE,1.57
2018,Nodal,AK,Y,HE_SO_CRUDE,1.57
2018,Nodal,CA,Y,LI_SW_CRUDE,1.57
2018,Nodal,CA,Y,HE_SO_CRUDE,1.57
2018,Nodal,CO,Y,LI_SW_CRUDE,1.5
2018,Nodal,CO,Y,HE_SO_CRUDE,1.5
2018,Nodal,EC,Y,LI_SW_CRUDE,1.3
2018,Nodal,EC,Y,HE_SO_CRUDE,1.5
2018,Nodal,KS,Y,HE_SO_CRUDE,2.4
2018,Nodal,KS,Y,LI_SW_CRUDE,2.4
2018,Nodal,LA,Y,HE_SO_CRUDE,2.09
2018,Nodal,LA,Y,LI_SW_CRUDE,2.09
2018,Nodal,MX,Y,LI_SW_CRUDE,0.9520571234274057
2018,Nodal,MX,Y,HE_SO_CRUDE,0.9520571234274057
2018,Nodal,NM,Y,LI_SW_CRUDE,2.09
2018,Nodal,NM,Y,HE_SO_CRUDE,2.09
2018,Nodal,ND,Y,HE_SO_CRUDE,2.4
2018,Nodal,ND,Y,LI_SW_CRUDE,2.4
2018,Nodal,OK,Y,HE_SO_CRUDE,2.4
2018,Nodal,OK,Y,LI_SW_CRUDE,2.4
2018,Nodal,RW,Y,HE_SO_CRUDE,1.1
2018,Nodal,RW,Y,LI_SW_CRUDE,1.1
2018,Nodal,TX,Y,HE_SO_CRUDE,2.09
2018,Nodal,TX,Y,LI_SW_CRUDE,2.09
2018,Nodal,WC,Y,LI_SW_CRUDE,1.2514285714285713
2018,Nodal,WC,Y,HE_SO_CRUDE,1.2514285714285713
2018,Nodal,WY,Y,HE_SO_CRUDE,1.5
2018,Nodal,WY,Y,LI_SW_CRUDE,1.5
