Node,LI_SW_prod
Alabama,
Alaska,0.8
Arizona,
Arkansas,
California,0.6
Colorado,0.8
Connecticut,
Delaware,
District of Columbia,
Florida,
Georgia,
Hawaii,
Idaho,
Illinois,
Indiana,
Iowa,
Kansas,0.95
Kentucky,
Louisiana,0.8
Maine,
Maryland,
Massachusetts,
Michigan,
Minnesota,
Mississippi,
Missouri,
Montana,
Nebraska,
Nevada,
New Hampshire,
New Jersey,
New Mexico,0.75
New York,
North Carolina,
North Dakota,0.995
Ohio,
Oklahoma,0.75
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Texas,0.7
Utah,
Vermont,
Virginia,
Washington,
West Virginia,
Wisconsin,
Wyoming,0.8
Rest of World,0.492
Eastern Canada,0.995
Western Canada,0.45
Mexico,0.48
