node,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AK,0.553865318,0.551538909,0.557444409,0.559591864,0.5688975,0.565318409,0.556907545,0.552791591,0.560665591,0.558339182,0.562813045,0.566034227,0.573013455,0.557623364,0.583571773,0.579634773,0.586256091,0.598246045,0.601109318,0.601825136,0.601467227,0.605762136,0.612562409,0.597709182,0.603614682,0.601825136,0.600035591,0.599319773,0.604688409,0.615067773
CA,0.553865318,0.551538909,0.557444409,0.559591864,0.5688975,0.565318409,0.556907545,0.552791591,0.560665591,0.558339182,0.562813045,0.566034227,0.573013455,0.557623364,0.583571773,0.579634773,0.586256091,0.598246045,0.601109318,0.601825136,0.601467227,0.605762136,0.612562409,0.597709182,0.603614682,0.601825136,0.600035591,0.599319773,0.604688409,0.615067773
CO,0.761452591,0.754831273,0.754294409,0.752146955,0.750536364,0.740693864,0.744809818,0.735504182,0.723872136,0.720650955,0.732104045,0.708303091,0.698639545,0.700071182,0.716535,0.699713273,0.700250136,0.696671045,0.693270909,0.688618091,0.687544364,0.695776273,0.689333909,0.686828545,0.698639545,0.704366091,0.700250136,0.709018909,0.712061136,0.709555773
DE,0.657927386,0.661774909,0.677254477,0.659806409,0.664996091,0.656764182,0.657211568,0.661148568,0.663832886,0.672601659,0.671170023,0.669827864,0.696492091,0.70373975,0.703381841,0.697297386,0.675285977,0.677522909,0.685844295,0.678865068,0.68602325,0.683786318,0.6830705,0.685307432,0.687096977,0.705171386,0.698907977,0.705171386,0.725035341,0.721366773
EC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,0.743199227,0.734430455,0.738546409,0.731030318,0.726556455,0.722798409,0.718682455,0.712061136,0.706871455,0.721545727,0.716177091,0.714745455,0.702576545,0.697744773,0.701860727,0.696671045,0.695239409,0.696492091,0.688618091,0.675375455,0.680028273,0.682533636,0.690049727,0.693091955,0.696134182,0.708303091,0.701144909,0.695418364,0.691302409,0.678238727
IN,0.743199227,0.734430455,0.738546409,0.731030318,0.726556455,0.722798409,0.718682455,0.712061136,0.706871455,0.721545727,0.716177091,0.714745455,0.702576545,0.697744773,0.701860727,0.696671045,0.695239409,0.696492091,0.688618091,0.675375455,0.680028273,0.682533636,0.690049727,0.693091955,0.696134182,0.708303091,0.701144909,0.695418364,0.691302409,0.678238727
KS,0.776126864,0.776484773,0.776305818,0.771474045,0.762884227,0.755905,0.748567864,0.749104727,0.751968,0.749462636,0.749641591,0.754831273,0.748925773,0.736041045,0.744809818,0.744451909,0.732640909,0.736041045,0.739978045,0.735325227,0.724230045,0.721903636,0.721903636,0.732104045,0.735504182,0.738367455,0.754294409,0.760378864,0.767179136,0.774874182
KY,0.741230727,0.734430455,0.737114773,0.730493455,0.727809136,0.723693182,0.718682455,0.713671727,0.710092636,0.719219318,0.714924409,0.713313818,0.702397591,0.695776273,0.703471318,0.697386864,0.692913,0.693986727,0.687902273,0.678238727,0.678238727,0.678954545,0.683607364,0.688618091,0.692555091,0.701681773,0.701144909,0.699355364,0.699713273,0.695418364
LA,0.685039,0.684860045,0.690228682,0.685396909,0.692913,0.686828545,0.690228682,0.679491409,0.673406955,0.660969614,0.657122091,0.646742727,0.654437773,0.659627455,0.651127114,0.647458545,0.623926023,0.613636136,0.626610341,0.620257455,0.615336205,0.619452159,0.638421341,0.648979659,0.648532273,0.653900909,0.643253114,0.657837909,0.648263841,0.664459227
MX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0.651037636,0.641732,0.642805727,0.638689773,0.660343273,0.661238045,0.655332545,0.653006136,0.652648227,0.649963909,0.646742727,0.6358265,0.628668318,0.620794318,0.637973955,0.621689091,0.611488682,0.606477955,0.591266818,0.590014136,0.588045636,0.585003409,0.582855955,0.589298318,0.599319773,0.604151545,0.611488682,0.611667636,0.623299682,0.640121409
MS,0.715998136,0.714745455,0.705260864,0.700787,0.704545045,0.698639545,0.6948815,0.685575864,0.684681091,0.682712591,0.677701864,0.673049045,0.666785636,0.669827864,0.666964591,0.662669682,0.648890182,0.641374091,0.648711227,0.637795,0.637079182,0.644774227,0.640479318,0.634931727,0.635110682,0.642089909,0.643163636,0.654974636,0.643163636,0.675554409
MT,0.761452591,0.754831273,0.754294409,0.752146955,0.750536364,0.740693864,0.744809818,0.735504182,0.723872136,0.720650955,0.732104045,0.708303091,0.698639545,0.700071182,0.716535,0.699713273,0.700250136,0.696671045,0.693270909,0.688618091,0.687544364,0.695776273,0.689333909,0.686828545,0.698639545,0.704366091,0.700250136,0.709018909,0.712061136,0.709555773
NJ,0.657927386,0.661774909,0.677254477,0.659806409,0.664996091,0.656764182,0.657211568,0.661148568,0.663832886,0.672601659,0.671170023,0.669827864,0.696492091,0.70373975,0.703381841,0.697297386,0.675285977,0.677522909,0.685844295,0.678865068,0.68602325,0.683786318,0.6830705,0.685307432,0.687096977,0.705171386,0.698907977,0.705171386,0.725035341,0.721366773
NM,0.815496864,0.813349409,0.817644318,0.826413091,0.819433864,0.810665091,0.787043091,0.763421091,0.775768955,0.822834,0.807086,0.814065227,0.799927818,0.807264955,0.804580636,0.803506909,0.803864818,0.813886273,0.807980773,0.821581318,0.811917773,0.808517636,0.801896318,0.807801818,0.808696591,0.776126864,0.730672409,0.750536364,0.772368818,0.792590682
ND,0.651037636,0.641732,0.642805727,0.638689773,0.660343273,0.661238045,0.655332545,0.653006136,0.652648227,0.649963909,0.646742727,0.6358265,0.628668318,0.620794318,0.637973955,0.621689091,0.611488682,0.606477955,0.591266818,0.590014136,0.588045636,0.585003409,0.582855955,0.589298318,0.599319773,0.604151545,0.611488682,0.611667636,0.623299682,0.640121409
OH,0.741230727,0.734430455,0.737114773,0.730493455,0.727809136,0.723693182,0.718682455,0.713671727,0.710092636,0.719219318,0.714924409,0.713313818,0.702397591,0.695776273,0.703471318,0.697386864,0.692913,0.693986727,0.687902273,0.678238727,0.678238727,0.678954545,0.683607364,0.688618091,0.692555091,0.701681773,0.701144909,0.699355364,0.699713273,0.695418364
OK,0.776126864,0.776484773,0.776305818,0.771474045,0.762884227,0.755905,0.748567864,0.749104727,0.751968,0.749462636,0.749641591,0.754831273,0.748925773,0.736041045,0.744809818,0.744451909,0.732640909,0.736041045,0.739978045,0.735325227,0.724230045,0.721903636,0.721903636,0.732104045,0.735504182,0.738367455,0.754294409,0.760378864,0.767179136,0.774874182
PA,0.657927386,0.661774909,0.677254477,0.659806409,0.664996091,0.656764182,0.657211568,0.661148568,0.663832886,0.672601659,0.671170023,0.669827864,0.696492091,0.70373975,0.703381841,0.697297386,0.675285977,0.677522909,0.685844295,0.678865068,0.68602325,0.683786318,0.6830705,0.685307432,0.687096977,0.705171386,0.698907977,0.705171386,0.725035341,0.721366773
RW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,0.741230727,0.734430455,0.737114773,0.730493455,0.727809136,0.723693182,0.718682455,0.713671727,0.710092636,0.719219318,0.714924409,0.713313818,0.702397591,0.695776273,0.703471318,0.697386864,0.692913,0.693986727,0.687902273,0.678238727,0.678238727,0.678954545,0.683607364,0.688618091,0.692555091,0.701681773,0.701144909,0.699355364,0.699713273,0.695418364
TX,0.761273636,0.760110432,0.756710295,0.752594341,0.754294409,0.750088977,0.747673091,0.741857068,0.738009545,0.74310975,0.736667386,0.734698886,0.722172068,0.721098341,0.725035341,0.719219318,0.712150614,0.705081909,0.704455568,0.692823523,0.696223659,0.70570825,0.699176409,0.690855023,0.68011775,0.688439136,0.689065477,0.694165682,0.682354682,0.736935818
WA,0.553865318,0.551538909,0.557444409,0.559591864,0.5688975,0.565318409,0.556907545,0.552791591,0.560665591,0.558339182,0.562813045,0.566034227,0.573013455,0.557623364,0.583571773,0.579634773,0.586256091,0.598246045,0.601109318,0.601825136,0.601467227,0.605762136,0.612562409,0.597709182,0.603614682,0.601825136,0.600035591,0.599319773,0.604688409,0.615067773
WC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0.761452591,0.754831273,0.754294409,0.752146955,0.750536364,0.740693864,0.744809818,0.735504182,0.723872136,0.720650955,0.732104045,0.708303091,0.698639545,0.700071182,0.716535,0.699713273,0.700250136,0.696671045,0.693270909,0.688618091,0.687544364,0.695776273,0.689333909,0.686828545,0.698639545,0.704366091,0.700250136,0.709018909,0.712061136,0.709555773
