year,AK,AL,AR,AZ,CA,CO,DE,FL,GA,HI,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,PADD 1,PADD 2,PADD 3,PADD 4,PADD 5,TN,TX,USA,UT,VA,WA,WI,WV,WY
1982,98.297388,110.3188,49.8192,3.03534,1916.20674,65.4944,105.56,11.31,21.866,36.288,794.8568,467.3848,361.196184,191.7496,1945.331896,22.0168,104.809,150.887768,80.704,286.6436,119.5428,0,53.17875,4.564,554.2654,91.509024,3.16008,73.8166,442.6265,439.604,11.34,530.846914,1416.464616,3131.277952,6418.251768,492.51556,2361.451428,40.3425,3932.572448,13882.43358,129.204,39.962,293.12388,30.264,16.6634,178.27436
1983,102.438,139.0372,50.81248,4.536,1899.51804,55.5616,105.56,0,20.1318,36.288,774.836,358.6672,288.058184,192.2152,1995.217056,10.7068,93.073,155.310968,0,273.5196,117.6028,2.262,45.64,0,429.8554,80.8204,3.402,79.8109,436.9215,374.2648,11.34,541.629114,1276.679856,2760.117152,6185.118864,435.10708,2363.30136,40.3425,3643.574528,13082.84551,130.368,39.962,305.77932,30.264,10.56731,131.57468
1984,102.438,119.7372,50.81248,0,1907.83404,55.5616,105.56,0,21.489,36.288,749.228,363.4008,249.892952,192.2152,1742.551456,10.7068,95.4365,158.414968,0,285.8716,115.2748,2.262,49.3727,0,378.8096,84.68488,3.402,79.8109,436.9215,360.8012,11.34,541.629114,1224.881856,2704.6704,5735.56344,431.92548,2362.87044,48.9,3449.804224,12522.42142,131.4544,39.208,301.5684,30.264,10.68041,129.63468
1985,105.084,115.4912,50.81248,0,1797.06492,64.1752,105.56,0,21.489,36.288,745.348,343.2248,261.8612,172.66,1745.189856,10.7068,94.9475,158.414968,0,284.4048,115.2748,2.262,51.345,0,430.0816,52.9232,3.402,31.5549,420.2955,296.1216,11.34,541.614034,1229.914216,2593.929768,5565.09176,438.24988,2264.12172,48.9,3314.198224,12151.20474,125.324,39.208,310.9428,30.264,12.56918,133.47588
1986,147.016,124.916,52.9731,0,1871.8734,54.675,118.02,14.331,28.662,37.536,742.784,369.003651,285.150301,181.9655,1892.989998,11.9706,100.0735,184.156547,0,303.439,116.5185,2.529,53.758797,0,349.3392,60.1025,3.519,35.27955,447.2813,317.7557,11.73,605.274,1204.55358,2737.203806,5891.254511,438.172095,2400.0362,51.54,3459.911913,12815.46789,125.145,45.4377,328.3618,26.528,14.05281,131.79105
1987,177.7377,127.545,53.3502,0,1922.6837,56.7815,121.24,14.722,29.444,90.174,772.5807,353.9229,285.033,182.4045,1916.042517,0,103.4979,184.600833,0,298.98,117.52545,11.258,54.3994,0,358.8704,62.8236,3.5595,36.2421,418.0759,321.1815,0,620.922,1203.668598,2726.962233,5890.923267,443.550405,2541.3248,52.14,3429.07995,12934.9413,125.4095,47.1104,347.1699,26.592,14.555728,136.361385
1988,187.5134,147.7308,49.2896,0,2003.2864,64.7955,123.9,15.045,29.784675,97.5878,784.6668,357.7716,297.7632,185.258,2212.298708,0,100.6745,187.488692,0,301.3512,121.84095,11.505,51.446,0,384.444,63.8064,3.789,37.03725,432.9447,321.986,0,643.395,1246.683372,2769.284692,6282.066708,455.55322,2672.6764,53.22,3493.316,13432.61279,130.8615,47.259,380.4998,27.008,14.87508,139.674535
1989,190.06,129.3312,50.3992,0,1976.0052,72.7248,122.08,0,28.844888,111.826,767.3796,371.4352,301.4459,188.9107,2267.227861,0,101.242,213.2473,0,310.1928,115.4673,11.336,51.736,0,348.8,65.2428,3.978,36.4932,432.2632,329.2345,0,640.32268,1237.327976,2815.5375,6353.532861,474.542125,2693.1944,51.736,3520.177,13510.15626,128.853,47.6984,411.3252,27.616,14.656576,141.55065
1990,202.03815,128.0576,50.8664,8.4384,1939.20585,76.152,117.04,0,27.654044,115.5885,768.7446,375.53165,306.3307,190.6619,2256.627737,0,107.732,219.5791,0,315.3504,116.60775,2.508,53.36,0,383.6404,67.7638,3.9555,34.9866,445.832,337.5125,0,618.06734,1310.457824,2853.96215,6239.318787,483.470325,2700.5517,55.2,3412.88285,13563.18239,129.0075,47.4012,431.3253,28.743,26.5012,141.720375
1991,208.63934,117.2637,51.342,8.71,1903.6576,76.5168,113.82,0,27.26802,127.4273,806.336,370.789,302.462,188.254,2259.39802,0,109.4678,229.706,0,308.3508,117.16635,2.439,53.534,0,373.0857,67.768,3.9195,34.02405,421.9033,340.13,0,605.128095,1282.0923,2862.811,6197.98302,477.3645,2694.82174,55.38,3382.165,13481.03922,129.6255,46.0971,442.468,28.552,10.1625,142.399275
